imagem_origem,linha,nome,frequencia,dano,status
img1.jpeg,1,Haru_Urara,21/21,7011154927,nome_corrigido
img1.jpeg,2,Hela,21/21,6909597762,nome_corrigido
img1.jpeg,3,ctey amass,21/21,6791215007,revisar
img1.jpeg,4,Ekretian fag,21/21,6768643794,revisar
img1.jpeg,5,Ie emcquer,21/21,6659104205,revisar
img1.jpeg,6,Gashak,21/21,6453921540,nome_corrigido
img2.jpeg,1,Wagnero,21/21,6389059372,nome_corrigido
img2.jpeg,2,Dennis,21/21,6291428074,nome_corrigido
img2.jpeg,3,hu,21/21,6251944076,revisar
img2.jpeg,4,Leon,21/21,5950206302,nome_corrigido
img2.jpeg,5,Sr_Mendes,21/21,5922903850,nome_corrigido
img2.jpeg,6,iPkanao mmm,21/21,5391553217,revisar
img3.jpeg,1,SirAudino,21/21,5160334306,nome_corrigido
img3.jpeg,2,Aurora,21/21,4911136607,nome_corrigido
img3.jpeg,3,Capibara,17/21,4438867232,nome_corrigido
img3.jpeg,4,S Cor,17/21,4374399105,revisar
img3.jpeg,5,lossv me,21/21,3971075271,revisar
img3.jpeg,6,Snowers,18/21,3852575992,nome_corrigido
img4.jpeg,1,jane fa,18/21,3677476051,revisar
img4.jpeg,2,CAPETTINI,18/21,3416580427,
img4.jpeg,3,Ramigam,16/21,3355983778,nome_corrigido
img4.jpeg,4,Cosmos,15/21,2698406766,nome_corrigido
img4.jpeg,5,math,18/21,2692345010,nome_corrigido
img4.jpeg,6,tang,12/21,2543147538,nome_corrigido
img5.jpeg,1,math,18/21,2692345010,
img5.jpeg,2,tang,12/21,2543147538,nome_corrigido
img5.jpeg,3,RocsH EE,18/21,1965689627,revisar
img5.jpeg,4,Po,18/21,1953658609,revisar
img5.jpeg,5,utiago,6/21,1028349222,nome_corrigido
img5.jpeg,6,iG cartinnozz,3/21,415155293,revisar
