imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,1,Haru_Urara,21/21,7011154927,nome_corrigido,completo
img1.jpeg,2,Hela,21/21,6909597762,nome_corrigido,completo
img1.jpeg,3,Cley,21/21,6791215007,linha_corrigida,completo
img1.jpeg,4,Krelian,21/21,6768643794,linha_corrigida,completo
img1.jpeg,5,MJ馬McQueen,21/21,6659104205,linha_corrigida,completo
img1.jpeg,6,Gashak,21/21,6453921540,linha_corrigida,completo
img2.jpeg,1,Wagnero,21/21,6389059372,nome_corrigido,completo
img2.jpeg,2,Dennis,21/21,6291428074,nome_corrigido,completo
img2.jpeg,3,Lux,21/21,6251944076,linha_corrigida,completo
img2.jpeg,4,Leon,21/21,5950206302,nome_corrigido,completo
img2.jpeg,5,Sr_Mendes,21/21,5922903850,nome_corrigido,completo
img2.jpeg,6,Kanao,21/21,5391553217,linha_corrigida,completo
img3.jpeg,1,SirAudino,21/21,5160334306,nome_corrigido,completo
img3.jpeg,2,Aurora,21/21,4911136607,nome_corrigido,completo
img3.jpeg,3,Capibara,17/21,4438867232,nome_corrigido,participou_bem
img3.jpeg,4,Ger,17/21,4374399105,linha_corrigida,participou_bem
img3.jpeg,5,カミナリ,21/21,3971075271,linha_corrigida,completo
img3.jpeg,6,Snowers,18/21,3852575992,nome_corrigido,participou_bem
img4.jpeg,1,Ino,18/21,3677476051,linha_corrigida,participou_bem
img4.jpeg,2,CAPETTINI,18/21,3416580427,,participou_bem
img4.jpeg,3,Ramigam,16/21,3355983778,nome_corrigido,participou_bem
img4.jpeg,4,Cosmos,15/21,2698406766,linha_corrigida,participou_bem
img4.jpeg,5,math,18/21,2692345010,nome_corrigido,participou_bem
img4.jpeg,6,tang,12/21,2543147538,nome_corrigido,baixa_participacao
img5.jpeg,3,PeSH,18/21,1965689627,linha_corrigida,participou_bem
img5.jpeg,4,kia,18/21,1953658609,linha_corrigida,participou_bem
img5.jpeg,5,utiago,6/21,1028349222,nome_corrigido,quase_ausente
img5.jpeg,6,Carlinhozz,3/21,415155293,linha_corrigida,quase_ausente
,,ヴァルディネイ,0/21,0,ausente,ausente
