imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,1,Haru_Urara,21/21,6894199346,,completo
img1.jpeg,2,Cley,21/21,6679057113,nome_corrigido,completo
img1.jpeg,3,Hela,21/21,6604305727,nome_corrigido,completo
img1.jpeg,4,Krelian,21/21,6496101134,,completo
img1.jpeg,5,MJ馬McQueen,21/21,6253728593,nome_corrigido,completo
img1.jpeg,6,Gashak,21/21,6228954380,nome_corrigido,completo
img1.jpeg,7,Dennis,21/21,6221493059,,completo
img2.jpeg,1,Wagnero,21/21,6142881018,nome_corrigido,completo
img2.jpeg,2,Leon,21/21,5986723720,nome_corrigido,completo
img2.jpeg,3,Kanao,21/21,5366796488,,completo
img2.jpeg,4,Aurora,21/21,5008681532,nome_corrigido,completo
img2.jpeg,5,Lux,18/21,4974077734,linha_corrigida,participou_bem
img2.jpeg,6,Cosmos,21/21,4593789190,nome_corrigido,completo
img2.jpeg,7,SirAudino,18/21,4496492369,linha_corrigida,participou_bem
img3.jpeg,1,CAPETTINI,21/21,4290048422,,completo
img3.jpeg,2,Ino,21/21,4287878567,nome_corrigido,completo
img3.jpeg,3,Sr_Mendes,15/21,4208881105,nome_corrigido,participou_bem
img3.jpeg,4,Snowers,21/21,4159199501,nome_corrigido,completo
img3.jpeg,5,カミナリ,21/21,4097292708,linha_corrigida,completo
img3.jpeg,6,ヴァルディネイ,15/21,3911443163,linha_corrigida,participou_bem
img3.jpeg,7,Ramigam,18/21,3789186857,nome_corrigido,participou_bem
img4.jpeg,2,Capibara,14/21,3216997851,nome_corrigido,baixa_participacao
img4.jpeg,3,tang,15/21,3078234894,,participou_bem
img4.jpeg,4,math,14/21,2482569303,,baixa_participacao
img4.jpeg,5,Ger,9/21,2335459318,nome_corrigido,baixa_participacao
img4.jpeg,6,kia,18/21,2022854315,nome_corrigido,participou_bem
img4.jpeg,7,utiago,9/21,1561535747,nome_corrigido,baixa_participacao
,,PeSH,0/21,0,ausente,ausente
,,Carlinhozz,0/21,0,ausente,ausente
