imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,1,Haru_Urara,21/21,7559924606,,completo
img1.jpeg,2,Cley,21/21,7407688538,,completo
img1.jpeg,3,Hela,21/21,7285905689,nome_corrigido,completo
img1.jpeg,4,Krelian,21/21,7231809226,,completo
img1.jpeg,5,Dennis,21/21,7126226172,,completo
img1.jpeg,6,MJ馬McQueen,21/21,6913539313,nome_corrigido,completo
img1.jpeg,7,Gashak,21/21,6865983465,nome_corrigido,completo
img2.jpeg,1,ヴァルディネイ,21/21,6621388068,nome_corrigido,completo
img2.jpeg,2,Leon,21/21,6586698591,,completo
img2.jpeg,3,Kanao,21/21,5815671107,nome_corrigido,completo
img2.jpeg,4,Lux,18/21,5465893810,nome_corrigido,participou_bem
img2.jpeg,5,Aurora,21/21,5358709934,nome_corrigido,completo
img2.jpeg,6,Sr_Mendes,18/21,5355701001,nome_corrigido,participou_bem
img2.jpeg,7,SirAudino,21/21,5207682711,,completo
img3.jpeg,1,CAPETTINI,21/21,4270204960,nome_corrigido,completo
img3.jpeg,2,Ramigam,18/21,4221231068,nome_corrigido,participou_bem
img3.jpeg,3,Snowers,17/21,4216741895,nome_corrigido,participou_bem
img3.jpeg,4,カミナリ,21/21,3993996566,nome_corrigido,completo
img3.jpeg,5,math,17/21,3550445208,,participou_bem
img3.jpeg,6,Capibara,12/21,3261764287,nome_corrigido,baixa_participacao
img4.jpeg,1,tang,15/21,2756414189,,participou_bem
img4.jpeg,2,Cosmos,12/21,2659114625,,baixa_participacao
img4.jpeg,3,Ger,11/21,2605401294,nome_corrigido,baixa_participacao
img4.jpeg,4,kia,18/21,2126326406,nome_corrigido,participou_bem
img4.jpeg,5,Ino,9/21,1687609149,nome_corrigido,baixa_participacao
img4.jpeg,6,utiago,6/21,1027380823,nome_corrigido,quase_ausente
img4.jpeg,7,PeSH,6/21,666145536,nome_corrigido,quase_ausente
,,Wagnero,0/21,0,ausente,ausente
,,Carlinhozz,0/21,0,ausente,ausente
